Region,Country,Item Type
Middle East and North Africa,Azerbaijan,Snacks
Central America and the Caribbean,Panama,Cosmetics
Sub-Saharan Africa,Sao Tome and Principe,Fruits
Sub-Saharan Africa,Sao Tome and Principe,Personal Care
Central America and the Caribbean,Belize,Household
Europe,Denmark,Clothes
Europe,Germany,Cosmetics
Middle East and North Africa,Turkey,Fruits
Europe,United Kingdom,Snacks
Asia,Kazakhstan,Cosmetics
Central America and the Caribbean,Haiti,Cosmetics
Europe,Italy,Clothes
Europe,Malta,Household
Middle East and North Africa,Jordan,Household
Asia,Cambodia,Vegetables
Central America and the Caribbean,Saint Kitts and Nevis ,Office Supplies
Sub-Saharan Africa,Cameroon,Fruits
Middle East and North Africa,Bahrain,Vegetables
Australia and Oceania,Solomon Islands,Beverages
Europe,Monaco,Office Supplies
Sub-Saharan Africa,Comoros,Beverages
Europe,Iceland,Meat
Sub-Saharan Africa,Zambia,Cosmetics
Middle East and North Africa,Egypt,Cereal
Sub-Saharan Africa,Togo,Clothes
Middle East and North Africa,Saudi Arabia,Vegetables
Middle East and North Africa,Morocco,Vegetables
Middle East and North Africa,Tunisia ,Office Supplies
Sub-Saharan Africa,Angola,Cosmetics
Asia,Vietnam,Cereal
Europe,Belarus,Meat
Asia,Myanmar,Snacks
Europe,Lithuania,Fruits
Europe,Switzerland,Baby Food
Central America and the Caribbean,Antigua and Barbuda ,Baby Food
Asia,Mongolia,Meat
North America,Greenland,Fruits
Sub-Saharan Africa,Eritrea,Cosmetics
Europe,Lithuania,Baby Food
Central America and the Caribbean,Saint Vincent and the Grenadines,Personal Care
Europe,Portugal,Vegetables
Middle East and North Africa,Somalia,Beverages
Middle East and North Africa,Turkey,Clothes
Middle East and North Africa,Israel,Vegetables
Central America and the Caribbean,Dominica,Clothes
Europe,Luxembourg,Meat
Europe,Switzerland,Meat
Asia,Singapore,Baby Food
Europe,Cyprus,Snacks
Sub-Saharan Africa,Botswana,Baby Food
Central America and the Caribbean,Belize,Office Supplies
Sub-Saharan Africa,Malawi,Clothes
Asia,Kyrgyzstan,Personal Care
Europe,Macedonia,Snacks
Sub-Saharan Africa,Rwanda,Household
Sub-Saharan Africa,Cape Verde,Snacks
Middle East and North Africa,Pakistan,Office Supplies
Asia,Kyrgyzstan,Baby Food
Sub-Saharan Africa,Eritrea,Personal Care
Middle East and North Africa,Israel,Office Supplies
Middle East and North Africa,Libya,Meat
Asia,Bangladesh,Snacks
Sub-Saharan Africa,Benin,Vegetables
Sub-Saharan Africa,Burundi,Snacks
Europe,Malta,Beverages
Central America and the Caribbean,Saint Vincent and the Grenadines,Personal Care
Asia,China,Cereal
Central America and the Caribbean,Dominica,Cosmetics
Europe,Albania,Cereal
Europe,Luxembourg,Vegetables
Middle East and North Africa,Pakistan,Cosmetics
Europe,Bulgaria,Clothes
Middle East and North Africa,Egypt,Cereal
Sub-Saharan Africa,Central African Republic,Meat
Sub-Saharan Africa,Benin,Household
Middle East and North Africa,Turkey,Household
Europe,Ukraine,Fruits
Sub-Saharan Africa,Uganda,Cosmetics
Sub-Saharan Africa,Ghana,Beverages
Sub-Saharan Africa,Namibia,Vegetables
Sub-Saharan Africa,Republic of the Congo,Household
Europe,Netherlands,Meat
Australia and Oceania,Australia,Cereal
Europe,Montenegro,Snacks
Middle East and North Africa,Iraq,Household
Sub-Saharan Africa,Cote d'Ivoire,Beverages
North America,Mexico,Office Supplies
Europe,Slovakia,Vegetables
Europe,Bulgaria,Office Supplies
Middle East and North Africa,Afghanistan,Office Supplies
Asia,Indonesia,Cereal
Europe,Italy,Cosmetics
Europe,Ukraine,Cereal
Asia,Thailand,Office Supplies
Sub-Saharan Africa,Mali,Office Supplies
North America,Mexico,Personal Care
Middle East and North Africa,Lebanon,Baby Food
Asia,South Korea,Beverages
Middle East and North Africa,United Arab Emirates,Meat
Europe,Georgia,Household
Sub-Saharan Africa,Guinea-Bissau,Fruits
Europe,Georgia,Vegetables
Sub-Saharan Africa,Malawi,Personal Care
Middle East and North Africa,Saudi Arabia,Household
Central America and the Caribbean,Saint Lucia,Fruits
Europe,Macedonia,Snacks
Sub-Saharan Africa,Rwanda,Beverages
Central America and the Caribbean,Dominica,Beverages
Middle East and North Africa,Libya,Baby Food
Sub-Saharan Africa,Angola,Personal Care
Sub-Saharan Africa,Lesotho,Household
Sub-Saharan Africa,Mauritius ,Meat
Sub-Saharan Africa,Sudan,Snacks
Europe,Slovakia,Snacks
Asia,Japan,Cosmetics
Europe,Estonia,Household
Asia,Laos,Baby Food
Europe,Belgium,Clothes
Asia,Bhutan,Meat
North America,United States of America,Household
Middle East and North Africa,Egypt,Personal Care
Europe,Sweden,Household
Asia,Nepal,Baby Food
Sub-Saharan Africa,Senegal,Clothes
Central America and the Caribbean,Dominican Republic,Baby Food
Europe,Ukraine,Clothes
Sub-Saharan Africa,Comoros,Clothes
Sub-Saharan Africa,Benin,Cereal
Sub-Saharan Africa,Ethiopia,Fruits
Sub-Saharan Africa,Djibouti,Cosmetics
Middle East and North Africa,United Arab Emirates,Cosmetics
Europe,Italy,Beverages
Asia,Kazakhstan,Clothes
Central America and the Caribbean,The Bahamas,Cosmetics
Middle East and North Africa,Algeria,Fruits
Europe,Malta,Office Supplies
Sub-Saharan Africa,Sudan,Personal Care
Europe,Lithuania,Baby Food
Sub-Saharan Africa,Lesotho,Office Supplies
Middle East and North Africa,Israel,Snacks
Sub-Saharan Africa,Benin,Baby Food
Sub-Saharan Africa,Burundi,Snacks
Central America and the Caribbean,Costa Rica,Clothes
Asia,Maldives,Office Supplies
Sub-Saharan Africa,Mauritania,Vegetables
Sub-Saharan Africa,Liberia,Beverages
Australia and Oceania,East Timor,Meat
Europe,Sweden,Vegetables
Sub-Saharan Africa,Republic of the Congo,Personal Care
Asia,Uzbekistan,Meat
Middle East and North Africa,Saudi Arabia,Snacks
Sub-Saharan Africa,South Africa,Snacks
Sub-Saharan Africa,Lesotho,Cosmetics
Asia,Thailand,Clothes
Australia and Oceania,Australia,Cereal
Central America and the Caribbean,Dominica,Cosmetics
Europe,Monaco,Cosmetics
Middle East and North Africa,Egypt,Snacks
Europe,Ireland,Meat
Asia,South Korea,Office Supplies
Asia,Kyrgyzstan,Beverages
Sub-Saharan Africa,Benin,Cosmetics
Asia,India,Cereal
Sub-Saharan Africa,Burundi,Baby Food
Asia,Maldives,Meat
Asia,India,Clothes
Middle East and North Africa,United Arab Emirates,Fruits
Sub-Saharan Africa,Sudan,Baby Food
Sub-Saharan Africa,Swaziland,Fruits
Sub-Saharan Africa,Angola,Beverages
Europe,Slovenia,Cosmetics
Asia,North Korea,Personal Care
Sub-Saharan Africa,Tanzania,Office Supplies
Australia and Oceania,Papua New Guinea,Snacks
Asia,Turkmenistan,Cereal
Central America and the Caribbean,Grenada,Cosmetics
Europe,Sweden,Cereal
Europe,Greece,Snacks
Central America and the Caribbean,Costa Rica,Cereal
Australia and Oceania,Kiribati,Snacks
Asia,Turkmenistan,Meat
Middle East and North Africa,Somalia,Beverages
Middle East and North Africa,Saudi Arabia,Meat
Europe,Portugal,Clothes
Middle East and North Africa,Iran,Baby Food
Asia,Cambodia,Personal Care
Europe,Switzerland,Personal Care
Central America and the Caribbean,Dominica,Vegetables
Asia,Kazakhstan,Household
Asia,Myanmar,Snacks
Sub-Saharan Africa,Mauritius ,Office Supplies
Sub-Saharan Africa,Comoros,Personal Care
Asia,Vietnam,Snacks
Sub-Saharan Africa,South Africa,Beverages
Central America and the Caribbean,The Bahamas,Office Supplies
Middle East and North Africa,Tunisia ,Snacks
Sub-Saharan Africa,South Sudan,Personal Care
Sub-Saharan Africa,Guinea,Cereal
Asia,Vietnam,Personal Care
Central America and the Caribbean,Grenada,Vegetables
Central America and the Caribbean,Trinidad and Tobago,Fruits
Middle East and North Africa,Israel,Household
Australia and Oceania,Papua New Guinea,Fruits
Middle East and North Africa,Iraq,Cosmetics
Sub-Saharan Africa,Sudan,Baby Food
Europe,Vatican City,Household
Europe,Norway,Household
Europe,Kosovo,Household
Australia and Oceania,Papua New Guinea,Cereal
Middle East and North Africa,Kuwait,Meat
Australia and Oceania,Tuvalu,Baby Food
Central America and the Caribbean,Nicaragua,Cereal
Europe,Croatia,Clothes
Central America and the Caribbean,Haiti,Fruits
Australia and Oceania,Tuvalu,Meat
Europe,Croatia,Meat
Europe,Czech Republic,Cereal
Middle East and North Africa,Egypt,Cosmetics
Sub-Saharan Africa,Sierra Leone,Vegetables
Sub-Saharan Africa,Rwanda,Fruits
Europe,Macedonia,Meat
